Key,Source,Context,English,German,Russian
h7sb_backpackTip_title,diary,title,H7SB [e0c977]Backpacks[-] Mod,H7SB [e0c977]Backpacks[-] Mod,H7SB [e0c977]Рюкзаки[-] Мод
h7sb_backpackTip,diary,desc,[e0c977]?[-] Inventory \n[e0c977]?[-] Shabby backpack || 10 Slots|| - \n[e0c977]?[-] Backpack (blue) || 30 Slots|| - \n[e0c977]?[-] Backpack (orange) || 30 Slots|| Needle & Thread (Vol. 7) \n[e0c977]?[-] Military Bag || 40 Slots|| Needle & thread (complete) \n[e0c977]?[-] All backpacks can be placed as a block (RMB) and pick up again (E). You can either make it yourself or buy it from a trader. \n\n[e0c977]? [-] Item Modifications \n[e0c977]?[-] Small Pockets Mod || 2 Slots|| - \n[e0c977]?[-] Large Pockets Mod || 4 Slots|| Needle & Thread (Vol. 7) \n[e0c977]?[-] Coat Pockets Mod || 6 Slots || Needle & thread (complete) \n[e0c977]?[-] Pocket Mods expand the inventory and can be attached to jackets and pants. Make some early in the game! \n\n[e0c977]?[-] Adjustments \n[e0c977]?[-] Steroids: 10 Slots || Packmule: max. 10 Slots \n[e0c977]?[-] Overloading has a greater effect on walking speed. \n[e0c977]?[-] Blockable inventory spaces for better relocation. \n\n[e0c977]www.eihwaz.de[-] // [ff0000]I need help with localization![-],[e0c977]?[-] Inventar \n[e0c977]?[-] Sch?biger Rucksack || 10 Pl?tze || -  \n[e0c977]?[-] Rucksack (blau)        || 30 Pl?tze || - \n[e0c977]?[-] Rucksack (orange)   || 30 Pl?tze || Nadel & Faden (Bd. 7) \n[e0c977]?[-] Kampftasche             || 40 Pl?tze || Nadel & Faden (komplett) \n[e0c977]?[-] Alle Rucks?cke k?nnen als Block platziert (RMB) und wieder aufgehoben (E) werden. Man kann sie entweder selbst herstellen oder beim H?ndler kaufen. \n\n[e0c977]?[-] Item Modifikationen \n[e0c977]?[-] Kleine Taschen Mod || 2 Pl?tze || -  \n[e0c977]?[-] Gro?e Taschen Mod || 4 Pl?tze || Nadel & Faden (Bd. 7) \n[e0c977]?[-] Manteltaschen Mod || 6 Pl?tze || Nadel & Faden (komplett) \n[e0c977]?[-] Taschen Mods erweitern das Inventar und k?nnen an Jacken und Hosen angebracht werden. Man sollte fr?h im Spiel welche herstellen! \n\n[e0c977]?[-] Anpassungen \n[e0c977]?[-] Steroide: 10 Pl?tze || Packesel: max. 10 Pl?tze \n[e0c977]?[-] ?berladung wirkt sich st?rker auf das Lauftempo aus. \n[e0c977]?[-] Blockierbare Inventarpl?tze zum besseren umlagern. \n\n[e0c977]www.eihwaz.de[-],[e0c977]?[-] Инвентарь \n[e0c977]?[-] Потрепанный Рюкзак || 10 мест|| - \n[e0c977]?[-] Рюкзак (синий) || 30 мест|| - \n[e0c977]?[-] Рюкзак (оранжевый) || 30 мест|| Иголка с ниткой (Часть 7) \n[e0c977]?[-] Военный Рюкзак || 40 мест|| Иголка с ниткой (завершена) \n[e0c977]?[-] Все рюкзаки можно разместить в виде блок (ПКМ) и подхватывать вновь (E). Вы можете либо сделать его сами либо купить у торговца. \n\n[e0c977]? [-] Модификаторы \n[e0c977]?[-] Маленький Карман || 2 мест|| - \n[e0c977]?[-] Большой Карман || 4 мест|| Иголка с ниткой (Часть 7) \n[e0c977]?[-] Карман пальто || 6 мест || Иголка с ниткой (complete) \n[e0c977]?[-] Карманные моды расширяют инвентарь и могут быть прикреплены к курткам и брюкам. Сделайте что-нибудь в начале игры! \n\n[e0c977]?[-] Изменения: \n[e0c977]?[-] Стеройды: 10 мест || размер упаковик 10 штук \n[e0c977]?[-] Перегрузка оказывает большее влияние на скорость ходьбы. \n[e0c977]?[-] Блокируемые складские помещения для лучшего перемещения. \n\n[e0c977]www.eihwaz.de[-] // [ff0000]Мне нужна помощь с локализацией![-]

h7sb_backpackRemove,main,remove,This item has been removed by the H7SB [e0c977]Backpacks[-] Mod. It is still there to avoid errors but has no effect!,Dieser Gegenstand wurde durch die H7SB [e0c977]Backpacks[-] Mod entfernt. Er ist noch vorhanden um Fehler zu vermeiden aber hat keinen Effekt mehr!,
lblEyewear,UI,Tooltip,Accessoire,Accessoire,Аксессуар
lblFace,UI,Tooltip,Back,R?cken,Спина

modClothingStoragePocket,itemMods,pocket,Small Pocket,Kleine Tasche,Маленький Карман
modClothingCargoStoragePocket,itemMods,pocket,Large Pocket,Gro?e Tasche,Большой Карман
modClothingCargo2StoragePocket,itemMods,b,Coat Pocket,Manteltasche,Карман пальто
pocketDesc,itemMods,desc,A pocket that you can sew on your pants or jacket to carry more items.,Eine Tasche die du an deine Hose oder Jacke n?hen kannst um mehr Gegenst?nde zu tragen.,Карман который вы можете пришить к брюкам или куртке чтобы носить больше предметов.
pocket2Desc,itemMods,desc,A pocket that you can sew on your jacket to carry more items.,Eine Tasche die du an deine Jacke n?hen kannst um mehr Gegenst?nde zu tragen.,Карман который вы можете пришить к куртке чтобы носить больше предметов.

h7sb_rucksack1,items,backpack,Shabby Backpack,Sch?biger Rucksack,Потрепанный Рюкзак
h7sb_rucksack1Desc,items,description,This shabby backpack doesn't look particularly good but it does the job.,Dieser sch?bige Rucksack macht nicht besonders viel her aber erf?llt seinen Zweck.,Этот потрепанный рюкзак выглядит не особенно хорошо но он делает свое дело.
h7sb_rucksackBlock1,blocks,backpack,Shabby Backpack,Sch?biger Rucksack,Потрепанный Рюкзак

h7sb_rucksack2,items,backpack,Backpack (blue),Rucksack (blau),Рюкзак (синий)
h7sb_rucksack2Desc,items,backpack,An ordinary backpack with a decent size - but worth gold in the apocalypse.,Ein gew?hnlicher Rucksack mit einer anst?ndigen gr??e - aber in der Apokalypse Gold wert.,Обычный рюкзак приличного размера - но стоящий золота в апокалипсисе.
h7sb_rucksackBlock2,blocks,backpack,Backpack (blue),Rucksack (blau),Рюкзак (синий)

h7sb_rucksack3,items,backpack,Backpack (orange),Rucksack (orange),Рюкзак (оранжевый)
h7sb_rucksackBlock3,blocks,backpack,Backpack (orange),Rucksack (orange),Рюкзак (оранжевый)

h7sb_rucksack4,items,backpack,Military Backpack,Kampftasche,Военный Рюкзак
h7sb_rucksack4Desc,items,backpack,The military backpack is the survivor's best friend and offers enough space for all your prey.,Die Kampftasche ist der beste Freund des ?berlebensk?nstlers und bietet ausreichend Platz f?r eure Beute.,Военный рюкзак - лучший друг выжившего в нем достаточно места для всей вашей добычи.
h7sb_rucksackBlock4,blocks,backpack,Military Backpack,Kampftasche,Военный Рюкзак
